user_id,age,gender,primary_platform,daily_usage_hours,anxiety_score,depression_score,loneliness_score,sleep_quality_score,sleep_hours,mental_wellbeing_score,addiction_level,age_group,sleep_hours_group,addiction_level_tier,loneliness_group
USR00199,36,Female,TikTok,5.3,1.4,2.8,7.9,4.2,6.2,6.2,Moderate,36-45,6-8 jam,2,Sangat Kesepian
USR00200,36,Male,YouTube,3.7,7.3,3.1,5.5,6.2,10.0,7.5,Low,36-45,>8 jam,1,Kesepian Sedang
USR00201,26,Male,YouTube,10.1,7.5,7.4,5.1,2.6,5.5,3.5,Severe,26-35,<6 jam,4,Kesepian Sedang
USR00202,43,Female,Instagram,8.5,6.8,4.5,5.4,7.8,6.7,7.7,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00203,39,Male,Instagram,6.0,6.8,5.8,5.5,7.2,4.0,3.7,Severe,36-45,<6 jam,4,Kesepian Sedang
USR00204,34,Female,TikTok,5.1,4.0,9.1,6.2,2.7,7.4,8.0,Low,26-35,6-8 jam,1,Kesepian Sedang
USR00205,38,Male,Instagram,6.0,4.6,0.8,4.1,5.3,6.6,5.4,High,36-45,6-8 jam,3,Kesepian Ringan
USR00206,38,Male,YouTube,2.7,2.3,4.6,4.9,8.5,6.5,7.7,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00207,40,Male,TikTok,5.8,4.5,3.4,0.4,6.6,4.1,5.0,Severe,36-45,<6 jam,4,Tidak Kesepian
USR00208,27,Female,YouTube,4.3,4.7,5.3,4.8,6.2,7.4,5.6,High,26-35,6-8 jam,3,Kesepian Ringan
USR00209,27,Male,Twitter/X,3.6,3.0,4.7,5.6,6.7,6.8,6.5,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00210,28,Male,Twitter/X,3.0,5.2,3.5,5.2,6.1,6.2,4.4,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00211,19,Female,Facebook,3.1,8.3,2.3,6.0,4.7,7.1,6.1,Moderate,18-25,6-8 jam,2,Kesepian Sedang
USR00212,22,Male,YouTube,5.6,3.9,2.7,6.5,2.7,6.9,5.4,High,18-25,6-8 jam,3,Kesepian Sedang
USR00213,36,Non-binary,TikTok,4.6,5.0,3.8,2.3,2.6,6.4,4.6,Severe,36-45,6-8 jam,4,Tidak Kesepian
USR00214,41,Female,Instagram,2.8,5.6,5.0,5.6,3.5,8.2,7.7,Moderate,36-45,>8 jam,2,Kesepian Sedang
USR00215,24,Male,TikTok,5.4,0.2,3.5,6.6,2.1,7.6,4.8,Severe,18-25,6-8 jam,4,Kesepian Sedang
USR00216,21,Female,Twitter/X,4.8,2.7,4.0,3.7,4.7,3.7,8.1,Low,18-25,<6 jam,1,Kesepian Ringan
USR00217,30,Male,Snapchat,4.3,4.5,6.5,3.2,6.3,5.7,6.3,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00218,26,Male,Instagram,7.7,0.3,7.1,3.6,8.4,7.1,7.6,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00219,42,Male,Instagram,4.0,6.4,3.8,8.7,3.7,6.8,7.8,Low,36-45,6-8 jam,1,Sangat Kesepian
USR00220,33,Male,Instagram,1.6,2.5,5.1,5.0,7.6,6.4,5.4,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00221,43,Female,Instagram,4.8,5.8,5.1,2.7,3.6,5.4,6.7,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00222,31,Non-binary,Instagram,2.4,3.1,1.8,5.5,6.1,7.7,7.5,Low,26-35,6-8 jam,1,Kesepian Sedang
USR00223,20,Female,TikTok,6.3,3.4,3.3,6.7,8.1,4.6,7.0,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00224,18,Male,TikTok,5.8,3.8,4.8,2.7,3.0,6.7,6.9,Moderate,<18,6-8 jam,2,Kesepian Ringan
USR00225,28,Male,Snapchat,3.8,2.3,8.2,9.0,8.3,6.7,8.8,Low,26-35,6-8 jam,1,Sangat Kesepian
USR00226,15,Female,Instagram,5.6,9.2,2.9,8.0,4.5,8.6,5.5,High,<18,>8 jam,3,Sangat Kesepian
USR00227,36,Female,Facebook,3.6,0.2,5.3,4.9,8.3,5.4,8.1,Low,36-45,<6 jam,1,Kesepian Ringan
USR00228,38,Male,YouTube,3.5,4.7,4.0,4.0,4.4,7.7,5.6,High,36-45,6-8 jam,3,Kesepian Ringan
USR00229,16,Female,Instagram,0.7,3.7,5.1,5.1,6.4,7.2,7.0,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00230,28,Non-binary,Twitter/X,0.5,7.0,4.3,6.3,6.1,5.9,7.0,Moderate,26-35,<6 jam,2,Kesepian Sedang
USR00231,23,Male,Snapchat,3.6,7.5,5.0,8.5,4.9,6.6,5.4,Severe,18-25,6-8 jam,4,Sangat Kesepian
USR00232,35,Male,Instagram,8.3,7.0,3.1,3.1,6.3,5.1,6.3,High,26-35,<6 jam,3,Kesepian Ringan
USR00233,42,Female,Snapchat,1.9,6.4,7.0,2.6,2.3,7.0,6.3,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00234,29,Male,Instagram,4.3,6.1,2.1,3.9,7.2,6.0,7.5,Low,26-35,<6 jam,1,Kesepian Ringan
USR00235,28,Male,Instagram,3.1,3.1,6.3,3.3,2.9,6.4,5.2,High,26-35,6-8 jam,3,Kesepian Ringan
USR00236,24,Male,TikTok,5.6,6.1,5.9,6.3,5.0,6.2,5.2,Severe,18-25,6-8 jam,4,Kesepian Sedang
USR00237,25,Female,Instagram,2.7,0.0,6.2,7.2,5.8,6.6,8.0,Low,18-25,6-8 jam,1,Kesepian Sedang
USR00238,15,Male,Instagram,4.3,9.9,4.2,1.2,4.3,8.4,8.1,Low,<18,>8 jam,1,Tidak Kesepian
USR00239,17,Male,YouTube,5.4,7.4,4.7,2.8,3.8,8.1,6.0,Moderate,<18,>8 jam,2,Kesepian Ringan
USR00240,31,Female,Facebook,3.4,4.9,3.4,4.3,2.9,6.4,6.2,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00241,38,Female,Instagram,4.2,3.9,1.3,4.7,3.8,6.1,4.1,Severe,36-45,6-8 jam,4,Kesepian Ringan
USR00242,21,Female,Facebook,4.0,5.7,4.0,3.3,3.4,7.2,7.3,Low,18-25,6-8 jam,1,Kesepian Ringan
USR00243,33,Male,Snapchat,5.6,5.0,5.0,5.2,5.0,6.2,4.0,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00244,24,Non-binary,TikTok,5.8,5.2,7.4,7.0,6.6,6.4,3.5,Severe,18-25,6-8 jam,4,Kesepian Sedang
USR00245,24,Male,Twitter/X,6.1,2.0,4.5,6.2,7.6,3.9,5.6,High,18-25,<6 jam,3,Kesepian Sedang
USR00246,28,Female,Instagram,5.4,8.6,2.4,0.0,8.3,8.3,7.6,Moderate,26-35,>8 jam,2,
USR00247,36,Male,Instagram,2.4,4.0,0.2,6.5,6.4,3.9,6.0,High,36-45,<6 jam,3,Kesepian Sedang
USR00248,26,Female,Twitter/X,3.6,2.6,3.8,5.9,8.3,7.9,7.7,Low,26-35,6-8 jam,1,Kesepian Sedang
USR00249,16,Male,Instagram,5.6,5.4,0.0,3.1,5.7,7.9,4.3,Severe,<18,6-8 jam,4,Kesepian Ringan
USR00250,29,Male,Twitter/X,4.6,6.9,2.5,6.2,5.2,9.3,5.4,Severe,26-35,>8 jam,4,Kesepian Sedang
USR00251,31,Non-binary,Snapchat,6.4,8.5,2.2,3.7,8.9,5.1,5.6,High,26-35,<6 jam,3,Kesepian Ringan
USR00252,31,Male,Instagram,1.8,9.1,6.8,2.1,5.4,5.4,6.0,High,26-35,<6 jam,3,Tidak Kesepian
USR00253,40,Female,Twitter/X,2.6,5.5,9.3,9.7,2.6,7.6,5.9,High,36-45,6-8 jam,3,Sangat Kesepian
USR00254,32,Non-binary,Instagram,2.7,5.5,7.6,6.6,10.0,3.9,6.3,Moderate,26-35,<6 jam,2,Kesepian Sedang
USR00255,29,Male,Instagram,5.1,7.1,6.4,3.8,6.3,6.2,3.8,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00256,16,Male,TikTok,3.1,5.7,4.1,6.7,3.8,7.3,5.7,Severe,<18,6-8 jam,4,Kesepian Sedang
USR00257,36,Female,YouTube,2.6,4.6,5.4,3.8,5.5,8.7,4.6,Severe,36-45,>8 jam,4,Kesepian Ringan
USR00258,34,Male,Twitter/X,5.2,3.9,5.5,4.2,6.3,7.5,4.7,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00259,33,Male,Instagram,3.6,3.4,8.1,6.9,5.2,4.5,5.6,Severe,26-35,<6 jam,4,Kesepian Sedang
USR00260,15,Female,Instagram,2.2,6.4,7.6,3.5,3.5,3.2,5.4,Severe,<18,<6 jam,4,Kesepian Ringan
USR00261,28,Male,TikTok,5.4,3.4,7.1,4.3,6.3,6.0,7.2,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00262,41,Male,Facebook,4.3,4.4,7.7,2.5,8.0,7.2,9.0,Low,36-45,6-8 jam,1,Tidak Kesepian
USR00263,25,Male,TikTok,5.5,6.2,5.0,6.4,2.9,6.5,4.3,Severe,18-25,6-8 jam,4,Kesepian Sedang
USR00264,35,Female,Instagram,5.7,4.5,4.1,6.7,7.5,7.0,5.9,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00265,41,Female,YouTube,3.2,8.3,2.8,2.8,6.4,8.6,7.0,Moderate,36-45,>8 jam,2,Kesepian Ringan
USR00266,42,Female,YouTube,3.9,5.1,2.3,5.0,6.0,6.0,7.5,Low,36-45,<6 jam,1,Kesepian Ringan
USR00267,43,Male,TikTok,4.2,6.0,3.3,5.1,8.1,7.1,6.1,High,36-45,6-8 jam,3,Kesepian Sedang
USR00268,23,Female,Snapchat,5.9,5.7,5.6,4.0,7.5,4.7,6.7,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00269,38,Male,Snapchat,4.4,1.6,4.9,5.6,4.7,6.0,6.9,Moderate,36-45,<6 jam,2,Kesepian Sedang
USR00270,16,Female,Instagram,6.7,5.5,6.0,3.8,10.0,5.1,6.4,Moderate,<18,<6 jam,2,Kesepian Ringan
USR00271,19,Male,Facebook,3.3,1.3,5.8,5.5,3.5,6.2,7.2,Low,18-25,6-8 jam,1,Kesepian Sedang
USR00272,40,Non-binary,YouTube,4.5,2.4,10.0,1.7,3.6,8.5,6.3,Moderate,36-45,>8 jam,2,Tidak Kesepian
USR00273,27,Female,Twitter/X,7.2,2.7,7.0,4.6,7.2,3.7,7.1,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00274,34,Female,Instagram,1.5,4.9,2.4,5.0,1.2,6.8,8.0,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00275,37,Male,Facebook,1.8,7.1,1.7,3.7,5.9,5.6,8.2,Low,36-45,<6 jam,1,Kesepian Ringan
USR00276,25,Female,Snapchat,5.9,4.3,4.0,1.8,7.0,5.8,6.8,Moderate,18-25,,2,Tidak Kesepian
USR00277,43,Female,YouTube,6.1,7.6,3.4,5.2,6.2,6.0,7.8,Moderate,36-45,<6 jam,2,Kesepian Sedang
USR00278,22,Female,Instagram,6.5,8.6,6.2,4.3,8.1,5.5,5.9,High,18-25,<6 jam,3,Kesepian Ringan
USR00279,32,Female,YouTube,6.3,6.6,5.0,4.3,7.8,6.8,4.6,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00280,30,Male,Facebook,6.7,6.7,5.5,3.3,5.4,7.5,8.6,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00281,15,Male,Facebook,3.4,2.7,3.8,5.1,6.2,7.9,6.1,Moderate,<18,6-8 jam,2,Kesepian Sedang
USR00282,33,Female,YouTube,4.5,2.6,7.3,3.3,5.8,7.6,7.9,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00283,22,Male,Instagram,5.7,3.0,7.9,3.0,5.4,6.6,6.0,High,18-25,6-8 jam,3,Kesepian Ringan
USR00284,27,Non-binary,Instagram,1.9,6.0,2.2,6.4,9.7,6.2,5.0,High,26-35,6-8 jam,3,Kesepian Sedang
USR00285,31,Female,YouTube,1.8,4.8,6.1,4.8,1.7,6.6,4.2,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00286,15,Male,Instagram,3.2,7.6,6.0,3.1,4.4,7.8,6.9,Moderate,<18,6-8 jam,2,Kesepian Ringan
USR00287,27,Non-binary,TikTok,6.6,6.3,0.0,5.7,1.0,7.4,4.6,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00288,24,Male,Snapchat,6.1,3.0,6.0,0.0,4.0,5.7,6.6,Moderate,18-25,<6 jam,2,
USR00289,29,Female,YouTube,1.7,4.7,2.0,4.7,7.1,7.2,6.5,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00290,39,Female,TikTok,3.3,7.9,2.5,7.2,4.6,6.3,6.8,High,36-45,6-8 jam,3,Kesepian Sedang
USR00291,17,Female,Instagram,3.3,2.9,5.0,3.6,2.1,8.3,6.2,Moderate,<18,>8 jam,2,Kesepian Ringan
USR00292,31,Male,Twitter/X,4.6,3.4,9.8,4.4,9.0,8.2,6.9,Moderate,26-35,>8 jam,2,Kesepian Ringan
USR00293,26,Female,Instagram,4.9,6.1,4.0,5.2,1.6,4.9,6.7,High,26-35,<6 jam,3,Kesepian Sedang
USR00294,20,Female,Instagram,4.5,4.6,4.4,4.6,6.9,7.1,7.8,Low,18-25,6-8 jam,1,Kesepian Ringan
USR00295,36,Male,YouTube,2.5,3.4,6.5,3.1,3.8,4.2,6.6,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00296,31,Male,Instagram,6.8,2.7,3.8,8.7,9.1,6.1,6.1,Moderate,26-35,6-8 jam,2,Sangat Kesepian
USR00297,24,Non-binary,Instagram,6.6,7.5,5.9,2.7,6.5,5.4,6.1,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00298,26,Non-binary,Facebook,2.3,6.7,5.3,8.5,5.9,7.2,6.8,Moderate,26-35,6-8 jam,2,Sangat Kesepian
USR00299,25,Female,YouTube,4.1,3.5,4.3,4.5,3.8,3.0,7.2,Low,18-25,<6 jam,1,Kesepian Ringan
USR00300,15,Male,Instagram,6.7,4.9,4.3,10.0,5.8,7.6,5.7,High,<18,6-8 jam,3,Sangat Kesepian
USR00301,23,Non-binary,Twitter/X,5.2,4.0,0.4,5.4,8.3,6.4,7.9,Low,18-25,,1,Kesepian Sedang
USR00302,19,Male,Facebook,5.4,3.1,4.9,7.0,9.0,5.1,4.7,Severe,18-25,<6 jam,4,Kesepian Sedang
USR00303,20,Male,Instagram,3.5,0.0,2.8,6.5,10.0,7.3,6.8,High,18-25,6-8 jam,3,Kesepian Sedang
USR00304,43,Female,YouTube,7.5,3.1,4.2,5.7,4.6,5.0,5.3,High,36-45,<6 jam,3,Kesepian Sedang
USR00305,26,Female,TikTok,2.2,6.6,6.3,5.0,3.9,5.5,6.2,High,26-35,<6 jam,3,Kesepian Ringan
USR00306,44,Male,TikTok,6.4,0.1,5.3,0.2,7.3,7.0,7.0,Low,36-45,6-8 jam,1,Tidak Kesepian
USR00307,32,Male,YouTube,4.6,7.3,7.0,5.9,10.0,5.4,5.9,Moderate,26-35,<6 jam,2,Kesepian Sedang
USR00308,44,Male,Instagram,2.9,1.2,9.4,3.1,3.5,5.4,8.6,Low,36-45,<6 jam,1,Kesepian Ringan
USR00309,29,Male,Instagram,7.3,4.2,5.3,4.4,1.8,7.2,6.8,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00310,25,Male,Instagram,6.2,4.0,5.3,3.6,3.2,7.7,6.3,High,18-25,6-8 jam,3,Kesepian Ringan
USR00311,35,Male,YouTube,5.5,7.0,0.0,4.3,5.0,4.5,6.4,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00312,31,Male,Twitter/X,4.8,6.6,6.2,3.0,3.0,6.4,7.2,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00313,22,Male,YouTube,7.5,5.6,4.2,4.8,5.2,6.7,4.5,Severe,18-25,6-8 jam,4,Kesepian Ringan
USR00314,43,Male,YouTube,3.6,2.9,1.5,3.1,4.7,7.5,7.2,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00315,30,Female,YouTube,3.5,4.5,3.1,5.2,4.8,7.9,6.6,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00316,41,Male,Snapchat,0.5,4.7,4.7,7.2,4.5,6.8,7.8,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00317,33,Male,YouTube,1.0,3.8,2.1,6.4,2.6,9.3,7.1,High,26-35,>8 jam,3,Kesepian Sedang
USR00318,31,Female,Instagram,3.7,3.6,6.1,7.7,3.7,7.8,8.2,Low,26-35,6-8 jam,1,Sangat Kesepian
USR00319,29,Female,Twitter/X,4.2,4.6,3.8,3.4,4.6,8.4,8.3,Low,26-35,>8 jam,1,Kesepian Ringan
USR00320,30,Male,TikTok,5.7,6.8,5.4,3.8,8.1,5.0,8.8,Low,26-35,<6 jam,1,Kesepian Ringan
USR00321,28,Male,Facebook,6.3,6.3,4.4,2.9,6.4,7.8,7.0,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00322,34,Female,Instagram,8.6,5.7,5.0,5.8,3.3,4.3,8.0,Low,26-35,<6 jam,1,Kesepian Sedang
USR00323,24,Female,Twitter/X,6.0,4.3,5.2,5.5,6.5,4.7,8.5,Low,18-25,<6 jam,1,Kesepian Sedang
USR00324,28,Non-binary,TikTok,10.6,3.7,2.3,5.2,7.3,5.2,5.9,High,26-35,<6 jam,3,Kesepian Sedang
USR00325,39,Female,Facebook,6.1,4.5,5.9,4.3,4.7,7.7,7.7,Low,36-45,6-8 jam,1,Kesepian Ringan
USR00326,18,Female,Instagram,7.3,4.1,6.4,0.9,6.2,6.8,4.6,Severe,<18,6-8 jam,4,Tidak Kesepian
USR00327,22,Male,Twitter/X,2.8,4.8,4.4,0.0,7.6,7.9,8.0,Low,18-25,6-8 jam,1,
USR00328,32,Male,Instagram,5.5,4.1,3.9,3.5,8.6,6.6,8.3,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00329,25,Male,Twitter/X,6.5,3.6,3.8,0.0,2.5,7.3,6.9,Low,18-25,6-8 jam,1,
USR00330,15,Female,TikTok,6.5,10.0,4.6,8.3,4.8,7.8,6.7,Moderate,<18,6-8 jam,2,Sangat Kesepian
USR00331,16,Female,TikTok,3.6,4.5,1.2,2.7,3.5,6.8,6.2,Moderate,<18,6-8 jam,2,Kesepian Ringan
USR00332,26,Male,YouTube,4.4,0.0,3.9,1.9,8.2,7.0,8.3,Moderate,26-35,6-8 jam,2,Tidak Kesepian
USR00333,42,Male,YouTube,4.8,3.7,1.8,3.8,4.4,4.8,8.4,Low,36-45,<6 jam,1,Kesepian Ringan
USR00334,19,Male,Instagram,5.2,3.8,5.9,5.3,4.8,5.8,6.2,Moderate,18-25,<6 jam,2,Kesepian Sedang
USR00335,21,Female,YouTube,2.3,7.7,3.1,0.9,5.9,8.4,6.4,Moderate,18-25,>8 jam,2,Tidak Kesepian
USR00336,44,Male,TikTok,6.6,7.2,5.2,4.5,7.0,5.4,7.1,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00337,42,Male,TikTok,5.1,6.7,6.1,5.9,6.4,10.0,8.6,Low,36-45,>8 jam,1,Kesepian Sedang
USR00338,32,Male,Instagram,5.4,3.4,1.9,1.6,4.2,4.9,5.4,Severe,26-35,<6 jam,4,Tidak Kesepian
USR00339,44,Male,Snapchat,5.8,5.4,3.3,4.9,4.4,6.4,6.3,Moderate,36-45,,2,Kesepian Ringan
USR00340,29,Female,Twitter/X,5.5,5.0,5.0,1.7,4.7,8.0,7.5,Low,26-35,6-8 jam,1,Tidak Kesepian
USR00341,27,Female,Instagram,6.2,4.6,7.6,6.6,7.5,5.6,4.6,Severe,26-35,<6 jam,4,Kesepian Sedang
USR00342,26,Female,Facebook,4.7,0.0,4.9,2.8,8.1,6.4,7.1,Moderate,26-35,6-8 jam,2,Kesepian Ringan
USR00343,27,Non-binary,Snapchat,1.1,2.7,5.1,3.8,4.6,7.8,8.2,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00344,31,Female,YouTube,7.2,6.7,4.3,3.0,2.2,7.7,5.4,High,26-35,6-8 jam,3,Kesepian Ringan
USR00345,32,Male,TikTok,3.0,3.9,3.5,0.8,6.6,7.1,7.4,Low,26-35,6-8 jam,1,Tidak Kesepian
USR00346,41,Male,Twitter/X,6.5,2.4,6.6,8.8,5.8,6.2,4.8,Severe,36-45,6-8 jam,4,Sangat Kesepian
USR00347,41,Male,YouTube,5.7,5.2,3.2,5.4,0.7,7.2,4.9,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00348,15,Male,TikTok,5.3,8.5,3.3,7.1,1.9,5.3,5.1,Severe,<18,<6 jam,4,Kesepian Sedang
USR00349,43,Female,Instagram,4.9,5.1,4.7,6.0,3.9,7.1,5.7,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00350,26,Female,YouTube,5.1,6.3,1.1,1.6,2.5,3.8,6.3,High,26-35,<6 jam,3,Tidak Kesepian
USR00351,16,Male,Snapchat,4.9,4.6,4.6,8.0,4.0,8.7,5.7,High,<18,>8 jam,3,Sangat Kesepian
USR00352,23,Non-binary,Facebook,4.6,4.7,5.6,3.4,6.3,4.8,8.1,Low,18-25,<6 jam,1,Kesepian Ringan
USR00353,35,Female,TikTok,4.3,5.5,4.4,5.3,4.9,7.4,5.1,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00354,16,Male,Instagram,5.1,7.2,3.2,4.7,6.1,7.2,8.8,Low,<18,6-8 jam,1,Kesepian Ringan
USR00355,30,Female,Facebook,5.8,3.5,7.9,5.1,2.0,8.8,5.2,High,26-35,>8 jam,3,Kesepian Sedang
USR00356,37,Female,YouTube,3.6,3.8,10.0,1.2,5.0,7.3,5.3,High,36-45,6-8 jam,3,Tidak Kesepian
USR00357,39,Female,Instagram,5.0,8.9,5.4,0.1,5.5,8.7,7.5,Moderate,36-45,>8 jam,2,Tidak Kesepian
USR00358,36,Non-binary,TikTok,1.7,9.1,6.0,3.1,3.0,7.3,4.9,High,36-45,6-8 jam,3,Kesepian Ringan
USR00359,17,Non-binary,Facebook,2.8,5.8,8.8,7.2,5.7,4.5,7.0,Moderate,<18,<6 jam,2,Kesepian Sedang
USR00360,27,Male,Instagram,0.9,5.7,3.7,5.4,6.5,7.0,6.6,Moderate,26-35,6-8 jam,2,Kesepian Sedang
USR00361,19,Male,TikTok,4.0,3.9,2.4,3.7,4.7,7.6,6.8,Low,18-25,6-8 jam,1,Kesepian Ringan
USR00362,27,Male,Instagram,5.3,2.8,4.4,2.2,5.8,6.9,6.4,Moderate,26-35,,2,Tidak Kesepian
USR00363,38,Male,Facebook,6.0,2.1,6.6,2.3,6.0,6.2,8.0,Low,36-45,6-8 jam,1,Tidak Kesepian
USR00364,35,Male,Instagram,1.7,5.1,2.9,3.6,6.3,8.3,6.9,Moderate,26-35,>8 jam,2,Kesepian Ringan
USR00365,26,Male,Snapchat,6.2,4.8,2.8,3.9,8.5,5.8,5.5,Severe,26-35,<6 jam,4,Kesepian Ringan
USR00366,32,Female,YouTube,2.4,6.8,5.7,3.8,6.8,6.0,4.3,Severe,26-35,<6 jam,4,Kesepian Ringan
USR00367,33,Male,TikTok,3.7,5.1,0.9,6.0,4.1,7.7,4.1,Severe,26-35,6-8 jam,4,Kesepian Sedang
USR00368,39,Male,TikTok,3.5,6.8,4.7,3.7,5.8,7.8,6.4,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00369,36,Female,Twitter/X,7.8,0.4,2.8,7.2,6.7,7.1,8.1,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00370,33,Female,YouTube,4.9,8.1,6.5,6.0,7.0,4.9,5.1,High,26-35,<6 jam,3,Kesepian Sedang
USR00371,40,Male,TikTok,8.9,9.9,4.0,5.7,7.4,9.4,5.0,Severe,36-45,>8 jam,4,Kesepian Sedang
USR00372,37,Female,YouTube,6.6,9.7,5.6,4.4,6.5,5.4,6.5,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00373,33,Male,YouTube,4.0,4.4,6.4,4.4,5.1,8.3,6.7,Moderate,26-35,>8 jam,2,Kesepian Ringan
USR00374,20,Male,TikTok,5.4,4.1,0.8,4.2,5.8,7.4,7.2,Low,18-25,6-8 jam,1,Kesepian Ringan
USR00375,22,Female,Facebook,7.4,2.4,4.7,2.1,6.0,8.6,6.6,Moderate,18-25,,2,Tidak Kesepian
USR00376,38,Male,Twitter/X,2.7,2.0,5.3,2.5,3.3,9.8,6.8,Moderate,36-45,>8 jam,2,Tidak Kesepian
USR00377,20,Female,TikTok,3.5,5.7,5.4,2.9,6.1,5.7,6.1,High,18-25,<6 jam,3,Kesepian Ringan
USR00378,20,Non-binary,YouTube,4.4,6.1,4.9,3.2,7.1,5.0,6.7,High,18-25,<6 jam,3,Kesepian Ringan
USR00379,21,Female,YouTube,3.9,1.4,6.0,2.9,7.6,6.7,6.2,Moderate,18-25,6-8 jam,2,Kesepian Ringan
USR00380,44,Non-binary,Facebook,4.0,1.3,2.6,4.6,1.3,7.4,6.5,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00381,31,Male,TikTok,8.1,6.4,4.6,0.5,1.7,6.1,5.9,High,26-35,6-8 jam,3,Tidak Kesepian
USR00382,25,Male,TikTok,4.8,5.3,5.0,4.4,6.4,7.8,6.9,Moderate,18-25,6-8 jam,2,Kesepian Ringan
USR00383,37,Non-binary,YouTube,3.9,5.8,4.5,3.5,8.2,6.4,5.8,High,36-45,6-8 jam,3,Kesepian Ringan
USR00384,29,Female,TikTok,3.7,4.7,6.4,7.1,7.6,4.6,5.2,High,26-35,<6 jam,3,Kesepian Sedang
USR00385,19,Female,Snapchat,1.7,2.5,5.8,3.8,6.7,6.0,9.1,Low,18-25,,1,Kesepian Ringan
USR00386,29,Female,YouTube,6.2,4.2,0.0,4.2,5.4,7.5,4.8,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00387,21,Male,TikTok,3.2,5.9,0.9,4.5,8.8,7.9,6.3,Moderate,18-25,6-8 jam,2,Kesepian Ringan
USR00388,28,Male,Snapchat,12.0,7.5,5.1,3.3,3.0,7.6,3.7,Severe,26-35,6-8 jam,4,Kesepian Ringan
USR00389,17,Male,YouTube,5.5,1.0,6.2,6.8,3.8,7.8,4.7,Severe,<18,6-8 jam,4,Kesepian Sedang
USR00390,27,Non-binary,Facebook,3.3,5.5,8.2,4.9,9.1,6.0,6.9,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00391,37,Male,Instagram,2.0,3.0,8.0,3.1,2.7,7.9,6.8,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00392,39,Non-binary,Instagram,3.5,4.4,5.5,2.9,6.1,6.1,6.3,Moderate,36-45,6-8 jam,2,Kesepian Ringan
USR00393,44,Male,YouTube,5.4,4.5,6.1,4.6,7.3,4.7,9.2,Low,36-45,<6 jam,1,Kesepian Ringan
USR00394,42,Female,Instagram,3.3,6.7,5.0,5.0,7.4,5.0,6.6,Moderate,36-45,<6 jam,2,Kesepian Ringan
USR00395,42,Female,Facebook,5.8,6.4,4.0,6.3,3.1,6.7,6.9,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00396,38,Male,TikTok,6.0,3.9,4.3,5.4,8.0,6.8,7.4,Low,36-45,6-8 jam,1,Kesepian Sedang
USR00397,31,Female,Snapchat,5.7,6.1,5.1,2.8,4.0,3.7,7.3,Moderate,26-35,<6 jam,2,Kesepian Ringan
USR00398,29,Female,YouTube,5.6,0.9,5.0,4.3,8.8,7.3,6.8,Low,26-35,6-8 jam,1,Kesepian Ringan
